,actual,test,prediction
0,7.2,7.9,7.240837
1,6.9,6,6.361418
2,6.3,5.8,5.492118
3,7.6,8,6.577322
4,6.1,6.8,6.4654236
5,5.9,6.7,6.083377
6,7.4,7.6,7.0990868
7,7.3,7.3,6.5870557
8,7.4,6.6,6.1628666
9,5.7,7.2,6.50139
10,5.4,6.4,6.2484803
11,6.1,6.7,6.5058665
12,7,6.4,6.495582
13,5.9,7.4,6.578421
14,6.5,7.3,6.9660974
15,6.3,5.9,5.5435185
16,7.4,6.3,6.596237
17,6.4,5.2,5.689028
18,6.2,6.7,7.057431
19,7.1,5.8,5.1396675
20,6.5,6,6.334234
21,6.2,5.7,5.8970923
22,7.6,5.8,6.13226
23,5.8,7.9,7.368239
24,6.6,7.1,7.076543
25,7.5,5.9,6.1510715
26,7.1,7.6,7.1693664
27,5.5,5.6,5.832589
28,6.5,7.4,7.024083
29,6.9,6.9,6.7652245
30,6.7,5.2,5.625661
31,6.8,7,6.4450855
32,6.4,4.3,5.4641314
33,6.3,6,6.2138615
34,7,6.3,6.0697618
35,6,5.6,6.108454
36,5.8,6.8,6.8363986
37,5.7,7,7.03899
38,6.5,5.7,5.7790775
39,6.3,6.8,6.5818696
40,5.8,6.7,6.3030806
41,5.1,4.1,5.4890795
42,7.6,5.8,5.3321395
43,5.9,5.7,5.995718
44,7.3,5.9,6.324047
45,6.7,7.8,6.509636
46,7.5,5.8,6.2602167
47,7.4,7.2,6.2690463
48,5.5,6.8,6.190602
49,7.3,5.1,5.4353337
50,6.2,5.9,6.0825267
51,6.7,6.3,6.2127457
52,6.1,5.5,5.6532865
53,5.7,4.9,5.676534
54,6.6,5.2,5.222108
55,6.7,6.5,5.8320184
56,6.6,6.4,6.0832887
57,7.8,7.2,6.4866776
58,6.1,6.2,5.314888
59,5.6,5.9,6.203672
60,6.6,6.4,5.9803915
61,5.2,6.4,5.9979167
62,5.5,7.9,7.191303
63,6.7,4.6,6.317747
64,6.4,7,6.8903675
65,8.2,6.3,6.2908473
66,7.7,7.4,7.175131
67,6,6.8,6.1795573
68,7.4,5.6,5.608295
69,7,7.6,6.639758
70,5.1,6.6,6.8514
71,5.2,7.5,7.0558734
72,5.9,6.1,5.9325237
73,5.3,7.3,6.8745785
74,7.6,5.5,6.2062907
75,5.9,6.8,6.3253245
76,5.6,3.1,4.619379
77,8,7,6.8029413
